9548.80247967,TRACKING,-0.4406013263315114/0.5140108016313519/-0.6036840931618873/0.42098604904716014,1.677960570648223/0.8519967733689442/-0.08703639813759487
9549.03448867,TRACKING,-0.43887011218300503/0.517604745458417/-0.6012128195058554/0.421926378494237,1.7775748258501338/0.8470659553581168/-0.08869668291844979
9549.20193267,TRACKING,-0.43846101347252336/0.5162341114762491/-0.6008991849682759/0.4244700489805572,1.8526171249532208/0.8484155792650268/-0.09199786023833185
9549.40178567,TRACKING,-0.4327656071083476/0.5106752526335913/-0.6044974582085962/0.4318656126935246,1.9496876093584712/0.8527634533678154/-0.09937221908957257
9549.59894467,TRACKING,-0.4278605931349183/0.5001288883272947/-0.6134777257408434/0.4364078972348734,2.046176093006298/0.8651136155456826/-0.10045636239341857
9549.79889567,TRACKING,-0.4246032368050944/0.4873584647456433/-0.6186685725826984/0.4465908397518209,2.129041298032263/0.8726487509724172/-0.09353829253090824
9549.99879967,TRACKING,-0.41698294780741035/0.48527577832734536/-0.6255534637495875/0.4464480519399353,2.2126996903089036/0.879055796409663/-0.09933572675690217
9550.23089167,TRACKING,-0.4112770834335031/0.4810865133555621/-0.6305586521891825/0.4492249686148523,2.363901104733867/0.863415000501519/-0.10193978581020677
9550.39823367,TRACKING,-0.4150890086482392/0.4774823477903204/-0.6297753029468148/0.45066079283778604,2.4386096526431653/0.8538888967961582/-0.10125275521715708
9550.63296267,TRACKING,-0.4139876178725782/0.4755168783266783/-0.6290482452382812/0.4547489592963831,2.5406395992704383/0.8371407073541821/-0.09821387876426767
9550.79799467,TRACKING,-0.411426905751506/0.47341829939858276/-0.6328583088427611/0.4539754779420313,2.6137992633052067/0.8317507309009368/-0.09951066461248913
9550.99772567,TRACKING,-0.3972654487519129/0.4638429678508422/-0.6406881227584401/0.4653482014038195,2.6997591657479263/0.8198626876198922/-0.11062371105370616
9551.23243767,TRACKING,-0.3816787536033541/0.43188392136130815/-0.6577632039113089/0.4849180589003125,2.8058364224706858/0.8018730742823913/-0.12734851694466043
9551.39977367,TRACKING,-0.36339041200852334/0.40376319150308926/-0.676193667201922/0.49767977652983647,2.8720300672335437/0.7843086996665418/-0.13044783954188588
9551.60475167,TRACKING,-0.3352230237585733/0.36493914492282814/-0.6994763837121976/0.5149544314715534,2.9217152252923007/0.7502243868818916/-0.13676016118898904
